billing_month,room_rent_thb,electricity_units,electricity_charge_thb,water_units,water_charge_thb,internet_charge_thb,other_charge_thb,total_housing_cost_thb
2023-01,4983,148,1036,4,80,0,0,6099
2023-02,6500,232,1624,5,100,360,0,8584
2023-03,6500,282,1974,5,100,450,0,9024
2023-04,6500,287,2009,2,100,450,0,9059
2023-05,6500,407,2849,3,100,450,0,9899
2023-06,6500,292,2044,6,120,450,0,9114
2023-07,6500,401,2807,5,100,450,0,9857
2023-08,6500,390,2730,5,100,450,0,9780
2023-09,6500,394,2758,6,120,450,0,9828
2023-10,6500,401,2807,5,100,450,0,9857
2023-11,6500,386,2702,6,120,450,0,9772
2023-12,6500,285,1995,6,120,450,0,9065
2024-01,6500,305,2135,24,480,450,0,9565
2024-02,6500,332,2324,8,160,450,0,9434
2024-03,6500,444,3108,6,120,450,0,10178
2024-04,6500,594,4158,6,120,450,0,11228
2024-05,6500,554,3878,7,140,450,0,10968
2024-06,6500,457,3199,6,120,450,0,10269
2024-07,6500,336,2352,6,120,450,0,9422
2024-08,6500,371,2597,7,140,450,0,9687
2024-09,6500,356,2492,5,100,450,0,9542
2024-10,6500,413,2891,5,100,450,0,9941
2024-11,6500,405,2835,5,100,450,0,9885
2024-12,6500,266,1862,4,100,450,0,8912
2025-01,6500,193,1351,4,100,450,0,8401
2025-02,6500,225,1575,3,100,450,0,8625
2025-03,6500,268,1876,3,100,450,0,8926
2025-04,6500,485,3395,6,120,450,0,10465
2025-05,6500,382,2674,2,100,450,0,9724
2025-06,6500,323,2261,4,100,450,0,9311
2025-07,6500,275,1925,2,100,450,0,8975
2025-08,6500,351,2457,2,100,450,0,9507
2025-09,6500,298,2086,2,100,450,0,9136
2025-10,6500,285,1995,3,100,450,0,9045
2025-11,6500,228,1596,3,100,450,0,8646
2025-12,6500,176,1232,2,100,450,0,8282
2026-01,6500,178,1246,3,100,450,0,8296
2026-02,6500,249,1743,3,100,450,0,8793
2026-03,6500,327,2289,3,100,450,0,9339
2026-04,6500,511,3577,5,100,450,0,10627
2026-05,6500,408,2856,2,100,450,0,9906
2026-06,6500,360,2520,3,100,450,0,9570
2026-07,6500,399,2793,5,100,450,0,9843
